clip_name,frame_number,sample_data_token,scene_token,scene_name,timestamp,time_since_prev_s,original_image_path,experiment_image_path,is_keyframe,anchor_sample,reused_from_assignment,image_sha256
clip_sample_001,1,28a10a4d6be847fea8e5dc6bb1411413,fcbccedd61424f1b85dcbf8f897f9754,scene-0103,1533151610362404,0.0,sweeps/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151610362404.jpg,results/clips/clip_sample_001/frame_001.jpg,False,sample_001,assignment_03,26e2a3f5496f606879537d026cf2866b8977fc9ccb421762b3f9ea47e84a51dc
clip_sample_001,2,562a992ab3724ba1873439cb5aa79c5f,fcbccedd61424f1b85dcbf8f897f9754,scene-0103,1533151610412404,0.05,samples/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151610412404.jpg,results/clips/clip_sample_001/frame_002.jpg,True,sample_001,assignment_03,90f7d983bc7edae9684b4d2b2445e340bc785020fa863c2ccf905d77fa306774
clip_sample_001,3,b14b6549131e4cdeb4ae4b9d473e45e4,fcbccedd61424f1b85dcbf8f897f9754,scene-0103,1533151610512404,0.1,sweeps/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151610512404.jpg,results/clips/clip_sample_001/frame_003.jpg,False,sample_001,assignment_03,1fddf73fdea1f66e41ac1a1585cfe7eb3c4c79489d07dd752032c780633f6b30
clip_sample_001,4,0b022c668a4e448c84f9312be61c7f27,fcbccedd61424f1b85dcbf8f897f9754,scene-0103,1533151610612404,0.1,sweeps/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151610612404.jpg,results/clips/clip_sample_001/frame_004.jpg,False,sample_001,assignment_03,1c3ac9759a81c6e9fde3ff76b0b095d206c47dcb895fc063b3463538391bd88c
clip_sample_001,5,7c97c17234bf4dacaaa68871207fb978,fcbccedd61424f1b85dcbf8f897f9754,scene-0103,1533151610662404,0.05,sweeps/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151610662404.jpg,results/clips/clip_sample_001/frame_005.jpg,False,sample_001,assignment_03,5d6d0234c0bb949b19466ab663694b217369ce9df44d7031b01b6bac9a91d01a
clip_sample_001,6,cbe95c955f944452a8787cad474c3703,fcbccedd61424f1b85dcbf8f897f9754,scene-0103,1533151610762404,0.1,sweeps/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151610762404.jpg,results/clips/clip_sample_001/frame_006.jpg,False,sample_001,assignment_03,e45934fe56daa7156edf43315452ee20356a35617c4da98c4e386019497fae33
clip_sample_001,7,34e49cbc025e4148a926fb9bfcdee716,fcbccedd61424f1b85dcbf8f897f9754,scene-0103,1533151610862404,0.1,sweeps/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151610862404.jpg,results/clips/clip_sample_001/frame_007.jpg,False,sample_001,assignment_03,561cef011ef66e1ad69617b4649cf6baedb5593cb5551a35b49fec876cd612ca
clip_sample_001,8,a1c59120cae444969fe633dce315bfaf,fcbccedd61424f1b85dcbf8f897f9754,scene-0103,1533151610912404,0.05,samples/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151610912404.jpg,results/clips/clip_sample_001/frame_008.jpg,True,sample_001,assignment_03,be4b3c376a48a06f9474f046e40fef41455d29c83b97ab9479d6fd13464c114b
clip_sample_001,9,8d33cde438e34347b947be5d58574c1e,fcbccedd61424f1b85dcbf8f897f9754,scene-0103,1533151611012404,0.1,sweeps/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151611012404.jpg,results/clips/clip_sample_001/frame_009.jpg,False,sample_001,assignment_03,fba7217c61cd548377c4a3d7a51521e3b630bc43e3dfd69023bb21baa9938291
clip_sample_001,10,43fccc726dec45b9b0bb4bc53c03c32a,fcbccedd61424f1b85dcbf8f897f9754,scene-0103,1533151611112404,0.1,sweeps/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151611112404.jpg,results/clips/clip_sample_001/frame_010.jpg,False,sample_001,assignment_03,812852df7918218351534afebbd8ce98f5c64e7435e2af6a7f56ac98708a159b
